,Year,FTCIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.28,13.49,5.85,6.78,14.43,0.75,219.0,1.0
1,2000,3.05,1.68,4.28,1.37,-1.23,-1.23,104.0,60.0
2,2001,-0.92,-2.46,-0.39,1.55,-0.53,0.92,45.0,58.0
3,2002,-3.79,-6.69,-3.11,2.9,-0.68,0.96,6.0,54.0
4,2003,17.35,22.48,12.34,-5.13,5.01,0.91,18.0,15.0
5,2004,7.98,11.48,5.46,-3.5,2.52,1.56,4.0,13.0
6,2005,4.7,7.04,2.97,-2.34,1.73,0.69,8.0,12.0
7,2006,9.92,12.95,8.16,-3.04,1.76,0.5,11.0,18.0
8,2007,8.29,8.63,4.53,-0.35,3.75,0.49,8.0,3.0
9,2008,-15.41,-22.19,-18.61,6.78,3.2,0.51,5.0,28.0
10,2009,19.67,21.77,20.77,-2.11,-1.11,0.5,11.0,58.0
11,2010,10.0,12.33,10.03,-2.34,-0.04,0.5,11.0,53.0
12,2011,-0.71,0.59,1.7,-1.3,-2.41,0.5,19.0,88.0
13,2012,7.99,12.04,9.4,-4.05,-1.4,0.5,26.0,73.0
14,2013,10.39,14.31,7.23,-3.92,3.16,0.59,58.0,22.0
15,YTD,4.53,5.81,4.98,-1.28,-0.45,-0.45,-0.45,61.0
