,Year,FTCOX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,11.67,10.88,7.81,0.79,3.86,0.47,0.47,25.0
1,2005,6.63,4.91,6.71,1.72,-0.08,0.58,2.0,37.0
2,2006,15.25,15.79,7.05,-0.55,8.19,0.5,2.0,34.0
3,2007,5.2,5.49,13.35,-0.29,-8.15,0.5,2.0,55.0
4,2008,-38.13,-37.0,-40.67,-1.13,2.54,0.48,3.0,59.0
5,2009,32.74,26.46,35.68,6.28,-2.94,0.38,2.0,19.0
6,2010,13.13,15.06,15.53,-1.93,-2.4,0.38,22.0,62.0
7,2011,-2.9,2.11,-2.46,-5.02,-0.44,0.39,2.0,69.0
8,2012,14.8,16.0,15.34,-1.21,-0.54,0.36,2.0,52.0
9,2013,31.01,32.39,33.92,-1.38,-2.91,0.44,6.0,74.0
10,YTD,7.83,13.98,10.79,-6.14,-2.96,-2.96,-2.96,82.0
