,Year,FTFIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.39,-2.06,-4.7,-1.33,1.31,1.31,13.0,86.0
1,2000,12.04,11.68,11.24,0.35,0.79,0.62,13.0,2.0
2,2001,4.6,5.13,3.92,-0.52,0.69,0.62,10.0,21.0
3,2002,8.65,9.6,8.45,-0.95,0.2,0.63,8.0,48.0
4,2003,5.44,5.31,4.9,0.13,0.54,0.62,12.0,25.0
5,2004,4.13,4.48,3.77,-0.35,0.36,0.63,0.63,33.0
6,2005,3.79,3.51,3.1,0.27,0.69,0.63,9.0,20.0
7,2006,4.38,4.84,4.57,-0.46,-0.18,0.63,5.0,51.0
8,2007,3.24,3.36,1.27,-0.12,1.97,0.63,7.0,6.0
9,2008,-6.01,-2.47,-9.45,-3.54,3.43,0.64,16.0,31.0
10,2009,13.32,12.91,17.3,0.41,-3.98,0.63,15.0,75.0
11,2010,0.42,2.38,1.65,-1.96,-1.23,0.63,5.0,86.0
12,2011,11.36,10.7,10.64,0.66,0.72,0.63,17.0,22.0
13,2012,7.94,6.78,8.87,1.16,-0.93,0.62,7.0,67.0
14,2013,-3.8,-2.55,-4.59,-1.24,0.8,0.62,11.0,31.0
15,YTD,10.34,8.5,9.8,1.84,0.55,0.6,2.0,37.0
