,Year,FTFMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.29,-2.06,-4.71,-1.24,1.42,1.42,1.42,7.0
1,2000,12.87,11.68,11.93,1.19,0.94,0.94,19.0,20.0
2,2001,4.39,5.13,3.83,-0.74,0.55,0.44,23.0,13.0
3,2002,10.94,9.6,8.91,1.33,2.03,0.44,12.0,2.0
4,2003,5.5,5.31,4.96,0.19,0.54,0.47,22.0,26.0
5,2004,4.44,4.48,3.69,-0.04,0.75,0.48,0.48,14.0
6,2005,3.07,3.51,3.25,-0.45,-0.18,0.47,22.0,39.0
7,2006,4.59,4.84,4.77,-0.26,-0.18,0.45,28.0,41.0
8,2007,3.3,3.36,1.5,-0.06,1.79,0.45,23.0,9.0
9,2008,-2.48,-2.47,-9.21,-0.01,6.73,0.44,13.0,6.0
10,2009,12.1,12.91,18.31,-0.81,-6.21,0.46,17.0,88.0
11,2010,2.36,2.38,1.7,-0.02,0.66,0.47,4.0,22.0
12,2011,9.6,10.7,9.85,-1.1,-0.24,0.47,10.0,53.0
13,2012,6.52,6.78,8.18,-0.26,-1.66,0.47,11.0,74.0
14,2013,-2.97,-2.55,-5.32,-0.42,2.36,0.46,16.0,4.0
15,YTD,8.97,8.5,9.94,0.46,-0.97,0.46,8.0,63.0
