,Year,FTGAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.82,-2.06,-4.34,-1.76,0.52,0.52,13.0,36.0
1,2000,11.44,11.68,11.02,-0.25,0.41,0.75,47.0,30.0
2,2001,4.68,5.13,4.32,-0.44,0.37,0.76,19.0,31.0
3,2002,7.4,9.6,8.53,-2.2,-1.13,0.75,20.0,84.0
4,2003,5.78,5.31,4.79,0.47,0.99,0.74,11.0,8.0
5,2004,4.9,4.48,3.84,0.43,1.06,0.75,0.75,14.0
6,2005,3.98,3.51,2.96,0.47,1.02,0.75,23.0,10.0
7,2006,4.66,4.84,4.41,-0.18,0.25,0.74,9.0,27.0
8,2007,2.66,3.36,1.65,-0.7,1.01,0.73,5.0,18.0
9,2008,-5.31,-2.47,-10.07,-2.83,4.76,0.72,8.0,25.0
10,2009,14.18,12.91,19.1,1.27,-4.91,0.69,10.0,75.0
11,2010,0.52,2.38,1.18,-1.85,-0.65,0.68,10.0,69.0
12,2011,11.63,10.7,10.2,0.93,1.43,0.67,9.0,17.0
13,2012,8.22,6.78,7.57,1.44,0.65,0.67,7.0,20.0
14,2013,-5.15,-2.55,-5.66,-2.59,0.51,0.66,5.0,49.0
15,YTD,9.81,8.5,9.57,1.31,0.25,0.66,6.0,35.0
