,Year,FTOIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.99,-2.06,-3.47,-0.94,0.48,0.48,7.0,29.0
1,2000,11.36,11.68,10.11,-0.32,1.26,0.64,10.0,17.0
2,2001,4.73,5.13,4.09,-0.39,0.64,0.66,16.0,14.0
3,2002,8.35,9.6,8.06,-1.26,0.29,0.65,10.0,37.0
4,2003,4.92,5.31,4.36,-0.4,0.55,0.65,13.0,28.0
5,2004,4.42,4.48,3.2,-0.06,1.22,0.65,0.65,15.0
6,2005,3.85,3.51,2.12,0.34,1.73,0.65,20.0,4.0
7,2006,4.75,4.84,3.69,-0.1,1.06,0.65,16.0,7.0
8,2007,3.4,3.36,2.26,0.04,1.14,0.65,11.0,15.0
9,2008,-1.59,-2.47,-4.43,0.88,2.84,0.65,16.0,35.0
10,2009,10.31,12.91,12.82,-2.61,-2.51,0.64,11.0,68.0
11,2010,-0.46,2.38,1.17,-2.84,-1.63,0.64,4.0,91.0
12,2011,10.78,10.7,9.24,0.08,1.54,0.63,19.0,10.0
13,2012,7.45,6.78,6.79,0.67,0.66,0.63,11.0,28.0
14,2013,-4.42,-2.55,-3.98,-1.87,-0.44,0.63,10.0,64.0
15,YTD,9.23,8.5,8.08,0.73,1.15,0.63,9.0,34.0
