,Year,FTRNX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,40.73,21.04,38.87,19.69,1.86,0.51,309.0,5.0
1,2000,-7.16,-9.1,-13.05,1.94,5.88,0.52,267.0,42.0
2,2001,-12.37,-11.89,-22.3,-0.49,9.93,0.74,102.0,46.0
3,2002,-20.89,-22.1,-27.64,1.21,6.75,1.01,79.0,30.0
4,2003,27.65,28.68,28.66,-1.03,-1.01,0.79,0.79,44.0
5,2004,10.66,10.88,7.81,-0.22,2.85,0.82,0.82,38.0
6,2005,7.42,4.91,6.71,2.5,0.7,0.8,64.0,28.0
7,2006,13.12,15.79,7.05,-2.67,6.07,0.8,81.0,69.0
8,2007,18.87,5.49,13.35,13.38,5.52,0.83,194.0,21.0
9,2008,-44.45,-37.0,-40.67,-7.46,-3.79,0.82,147.0,82.0
10,2009,44.45,26.46,35.68,17.99,8.77,0.8,141.0,14.0
11,2010,19.84,15.06,15.53,4.78,4.32,0.83,117.0,15.0
12,2011,-0.76,2.11,-2.46,-2.87,1.7,0.89,82.0,37.0
13,2012,18.64,16.0,15.34,2.63,3.3,0.87,171.0,16.0
14,2013,34.92,32.39,33.92,2.53,1.0,0.78,152.0,39.0
15,YTD,13.39,13.98,10.79,-0.59,2.6,2.6,2.6,22.0
