,Year,FTTMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.27,-2.06,-4.34,-0.21,2.07,2.07,7.0,5.0
1,2000,11.05,11.68,11.02,-0.63,0.03,0.63,14.0,42.0
2,2001,4.83,5.13,4.32,-0.3,0.51,0.64,10.0,25.0
3,2002,9.01,9.6,8.53,-0.59,0.48,0.64,9.0,29.0
4,2003,4.94,5.31,4.79,-0.38,0.15,0.64,13.0,38.0
5,2004,3.84,4.48,3.84,-0.64,-0.0,0.64,0.64,46.0
6,2005,3.82,3.51,2.96,0.31,0.86,0.64,9.0,12.0
7,2006,4.22,4.84,4.41,-0.63,-0.2,0.64,7.0,47.0
8,2007,3.71,3.36,1.65,0.35,2.06,0.64,8.0,1.0
9,2008,-2.94,-2.47,-10.07,-0.46,7.13,0.64,13.0,7.0
10,2009,10.75,12.91,19.1,-2.16,-8.34,0.63,16.0,98.0
11,2010,0.32,2.38,1.18,-2.06,-0.86,0.63,5.0,76.0
12,2011,9.87,10.7,10.2,-0.83,-0.34,0.63,11.0,60.0
13,2012,6.1,6.78,7.57,-0.68,-1.47,0.63,1.0,86.0
14,2013,-5.15,-2.55,-5.66,-2.59,0.51,0.63,17.0,48.0
15,YTD,10.43,8.5,9.57,1.93,0.86,0.63,9.0,25.0
