,Year,FVLAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.73,1.73,1.73
1,2004,14.25,10.88,12.97,3.37,1.28,1.47,1.47,31.0
2,2005,9.83,4.91,5.95,4.92,3.88,1.26,86.0,15.0
3,2006,15.0,15.79,18.15,-0.79,-3.15,1.24,91.0,39.0
4,2007,3.97,5.49,1.42,-1.52,2.55,1.24,76.0,73.0
5,2008,-45.2,-37.0,-37.09,-8.21,-8.11,1.25,74.0,92.0
6,2009,27.38,26.46,24.13,0.91,3.25,1.25,56.0,26.0
7,2010,9.58,15.06,13.66,-5.48,-4.08,1.21,51.0,94.0
8,2011,-8.0,2.11,-0.75,-10.11,-7.26,1.23,161.0,93.0
9,2012,13.66,16.0,14.57,-2.34,-0.9,1.24,94.0,64.0
10,2013,34.59,32.39,31.21,2.2,3.38,1.23,87.0,21.0
11,YTD,11.21,13.98,10.25,-2.77,0.96,0.96,0.96,39.0
