,Year,FWRLX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-34.74,-16.82,-32.88,-17.91,-1.86,-1.86,153.0,52.0
1,2002,-55.25,-19.89,-39.5,-35.36,-15.75,1.54,148.0,95.0
2,2003,68.31,33.11,44.35,35.21,23.97,2.01,110.0,7.0
3,2004,42.54,14.72,21.32,27.82,21.23,1.43,1.43,6.0
4,2005,17.32,9.49,7.66,7.84,9.67,0.97,96.0,9.0
5,2006,8.72,20.07,19.96,-11.35,-11.24,0.89,162.0,78.0
6,2007,27.46,9.04,11.05,18.42,16.41,0.96,124.0,3.0
7,2008,-49.62,-40.71,-49.47,-8.9,-0.14,0.91,191.0,61.0
8,2009,59.02,29.99,40.74,29.04,18.28,0.94,191.0,18.0
9,2010,15.17,11.76,19.92,3.4,-4.76,0.94,154.0,72.0
10,2011,-0.96,-5.54,-5.31,4.58,4.35,0.91,111.0,31.0
11,2012,16.3,15.83,16.71,0.47,-0.41,0.89,114.0,53.0
12,2013,28.26,26.68,26.34,1.58,1.92,0.87,100.0,41.0
13,YTD,4.97,6.66,4.39,-1.69,0.58,0.86,120.0,47.0
