,Year,FXCTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.83,-2.06,-4.34,-2.77,-0.49,-0.49,6.0,63.0
1,2000,9.86,11.68,11.02,-1.82,-1.16,0.71,31.0,78.0
2,2001,5.65,5.13,4.32,0.52,1.33,0.73,10.0,4.0
3,2002,8.8,9.6,8.53,-0.8,0.27,0.7,15.0,37.0
4,2003,3.61,5.31,4.79,-1.7,-1.17,0.7,10.0,92.0
5,2004,5.54,4.48,3.84,1.06,1.7,0.7,0.7,5.0
6,2005,4.54,3.51,2.96,1.02,1.57,0.71,3.0,2.0
7,2006,4.49,4.84,4.41,-0.35,0.08,0.71,8.0,36.0
8,2007,2.32,3.36,1.65,-1.04,0.67,0.7,11.0,29.0
9,2008,-6.7,-2.47,-10.07,-4.22,3.37,0.69,13.0,46.0
10,2009,16.17,12.91,19.1,3.26,-2.93,0.68,10.0,53.0
11,2010,1.33,2.38,1.18,-1.05,0.15,0.68,4.0,47.0
12,2011,10.32,10.7,10.2,-0.38,0.11,0.66,15.0,45.0
13,2012,6.28,6.78,7.57,-0.5,-1.3,0.67,14.0,82.0
14,2013,-6.11,-2.55,-5.66,-3.56,-0.46,0.66,21.0,74.0
15,YTD,8.96,8.5,9.57,0.46,-0.61,0.67,8.0,58.0
