,Year,GANYX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.67,-2.06,-2.76,-1.61,-0.91,-0.91,24.0,19.0
1,2000,12.38,11.68,9.9,0.69,2.47,0.95,37.0,27.0
2,2001,3.1,5.13,3.9,-2.02,-0.8,0.97,48.0,87.0
3,2002,10.18,9.6,8.65,0.58,1.53,0.96,41.0,14.0
4,2003,4.39,5.31,4.21,-0.93,0.17,1.02,7.0,41.0
5,2004,2.54,4.48,2.69,-1.94,-0.15,1.01,1.01,48.0
6,2005,1.61,3.51,1.93,-1.91,-0.32,0.87,4.0,55.0
7,2006,3.1,4.84,3.63,-1.74,-0.53,0.96,4.0,73.0
8,2007,3.06,3.36,2.79,-0.3,0.27,0.97,9.0,40.0
9,2008,-0.24,-2.47,-2.53,2.24,2.29,0.65,9.0,39.0
10,2009,9.9,12.91,10.89,-3.02,-0.99,0.68,20.0,46.0
11,2010,2.13,2.38,1.68,-0.25,0.46,0.7,10.0,22.0
12,2011,8.89,10.7,8.58,-1.81,0.31,0.67,8.0,47.0
13,2012,4.33,6.78,4.55,-2.45,-0.22,0.65,7.0,52.0
14,2013,-1.78,-2.55,-2.31,0.78,0.53,0.65,13.0,27.0
15,YTD,5.6,8.5,5.85,-2.9,-0.24,-0.24,-0.24,51.0
