,Year,GEQAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.05,21.04,6.72,-21.0,-6.67,-6.67,-6.67,76.0
1,2000,22.22,-9.1,7.87,31.33,14.36,14.36,81.0,5.0
2,2001,8.0,-11.89,-4.99,19.89,12.99,1.24,81.0,4.0
3,2002,-20.64,-22.1,-18.69,1.46,-1.95,1.4,65.0,68.0
4,2003,20.99,28.68,28.44,-7.7,-7.45,1.46,19.0,95.0
5,2004,14.51,10.88,12.97,3.63,1.54,1.45,1.45,29.0
6,2005,6.31,4.91,5.95,1.4,0.36,1.1,18.0,41.0
7,2006,19.72,15.79,18.15,3.92,1.56,1.1,52.0,29.0
8,2007,6.63,5.49,1.42,1.13,5.2,1.1,21.0,16.0
9,2008,-28.01,-37.0,-37.09,8.99,9.08,1.1,16.0,5.0
10,2009,18.25,26.46,24.13,-8.22,-5.88,1.1,23.0,78.0
11,2010,12.6,15.06,13.66,-2.46,-1.06,1.1,17.0,62.0
12,2011,6.72,2.11,-0.75,4.6,7.46,1.09,20.0,10.0
13,2012,10.83,16.0,14.57,-5.18,-3.74,1.05,23.0,88.0
14,2013,28.2,32.39,31.21,-4.19,-3.01,1.08,24.0,79.0
15,YTD,12.63,13.98,10.25,-1.34,2.38,1.07,19.0,17.0
