,Year,HLEIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.54,21.04,20.16,-0.5,0.38,0.38,5.0,43.0
1,2000,-9.28,-9.1,-6.31,-0.17,-2.97,0.35,8.0,57.0
2,2001,-12.19,-11.89,-13.5,-0.3,1.31,0.35,10.0,41.0
3,2002,-22.28,-22.1,-22.25,-0.18,-0.03,0.35,7.0,45.0
4,2003,28.19,28.68,27.05,-0.5,1.14,0.35,7.0,33.0
5,2004,10.5,10.88,10.02,-0.38,0.48,0.35,0.35,43.0
6,2005,4.73,4.91,5.88,-0.19,-1.15,0.27,11.0,60.0
7,2006,15.55,15.79,14.17,-0.25,1.38,0.2,10.0,26.0
8,2007,5.28,5.49,6.16,-0.21,-0.88,0.2,9.0,53.0
9,2008,-37.05,-37.0,-37.79,-0.06,0.74,0.2,12.0,39.0
10,2009,26.42,26.46,28.17,-0.04,-1.75,0.2,18.0,54.0
11,2010,14.82,15.06,14.01,-0.24,0.81,0.2,8.0,32.0
12,2011,1.96,2.11,-1.27,-0.15,3.24,0.2,7.0,19.0
13,2012,15.76,16.0,14.96,-0.25,0.8,0.2,7.0,40.0
14,2013,32.1,32.39,31.5,-0.29,0.6,0.2,4.0,46.0
15,YTD,13.7,13.98,11.28,-0.28,2.42,0.2,5.0,21.0
