,Year,HLGAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.76,-0.82,-1.35,-0.94,-0.41,-0.41,81.0,55.0
1,2000,12.04,11.63,10.86,0.41,1.18,0.62,25.0,15.0
2,2001,7.13,8.44,6.81,-1.32,0.32,0.62,12.0,38.0
3,2002,11.38,10.26,9.23,1.13,2.16,0.62,24.0,8.0
4,2003,2.54,4.1,1.9,-1.57,0.64,0.62,19.0,17.0
5,2004,4.79,4.34,3.01,0.45,1.77,0.62,0.62,3.0
6,2005,3.29,2.43,1.91,0.86,1.38,0.56,10.0,3.0
7,2006,3.36,4.33,3.47,-0.97,-0.1,0.54,6.0,53.0
8,2007,7.52,6.97,6.09,0.56,1.44,0.5,24.0,13.0
9,2008,9.36,5.24,4.76,4.12,4.6,0.48,2.0,14.0
10,2009,2.07,5.93,4.74,-3.86,-2.67,0.48,13.0,68.0
11,2010,7.17,6.54,5.66,0.62,1.51,0.47,12.0,15.0
12,2011,10.61,7.84,6.7,2.77,3.92,0.47,18.0,1.0
13,2012,3.54,4.21,2.8,-0.67,0.75,0.47,15.0,21.0
14,2013,-3.62,-2.02,-2.72,-1.6,-0.9,0.47,12.0,80.0
15,YTD,5.59,5.87,4.77,-0.27,0.82,0.47,5.0,18.0
