,Year,HLGEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,29.11,21.04,60.49,8.07,-31.37,-31.37,141.0,80.0
1,2000,5.9,-9.1,-4.78,15.0,10.67,0.99,182.0,31.0
2,2001,-10.72,-11.89,-19.98,1.17,9.26,0.99,127.0,22.0
3,2002,-20.19,-22.1,-27.24,1.91,7.05,0.99,83.0,19.0
4,2003,26.79,28.68,35.96,-1.9,-9.17,0.99,71.0,91.0
5,2004,12.91,10.88,13.23,2.03,-0.32,0.97,0.97,53.0
6,2005,10.89,4.91,9.84,5.98,1.05,0.99,119.0,43.0
7,2006,11.34,15.79,9.0,-4.45,2.34,0.99,112.0,32.0
8,2007,17.11,5.49,15.09,11.61,2.02,0.99,119.0,39.0
9,2008,-43.77,-37.0,-43.77,-6.77,0.01,0.99,95.0,47.0
10,2009,43.24,26.46,39.11,16.77,4.13,0.98,96.0,37.0
11,2010,25.49,15.06,24.61,10.43,0.88,0.93,82.0,47.0
12,2011,-5.79,2.11,-3.96,-7.9,-1.83,0.93,79.0,64.0
13,2012,15.95,16.0,14.07,-0.06,1.88,0.93,70.0,30.0
14,2013,42.34,32.39,34.93,9.95,7.41,0.93,70.0,7.0
15,YTD,11.31,13.98,6.96,-2.67,4.34,0.93,69.0,14.0
