,Year,HLGFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.54,-0.82,2.21,5.36,2.33,2.33,39.0,59.0
1,2000,7.61,11.63,7.59,-4.02,0.01,0.4,33.0,7.0
2,2001,5.99,8.44,7.27,-2.45,-1.28,0.4,37.0,35.0
3,2002,4.58,10.26,5.47,-5.67,-0.89,0.4,39.0,4.0
4,2003,2.15,4.1,2.54,-1.95,-0.39,0.45,36.0,20.0
5,2004,2.05,4.34,1.63,-2.29,0.42,0.45,0.45,10.0
6,2005,2.85,2.43,1.45,0.42,1.4,0.55,26.0,25.0
7,2006,4.8,4.33,4.05,0.46,0.75,0.55,22.0,34.0
8,2007,1.05,6.97,4.29,-5.92,-3.24,0.45,26.0,75.0
9,2008,-12.49,5.24,-4.23,-17.73,-8.26,0.45,15.0,71.0
10,2009,15.61,5.93,9.3,9.68,6.31,0.45,0.45,7.0
11,2010,10.29,6.54,4.11,3.75,6.19,0.42,23.0,2.0
12,2011,1.78,7.84,1.66,-6.06,0.12,0.42,28.0,40.0
13,2012,6.44,4.21,3.67,2.23,2.77,0.43,21.0,9.0
14,2013,1.88,-2.02,0.45,3.9,1.42,0.42,24.0,7.0
15,YTD,2.28,5.87,1.45,-3.59,0.82,0.42,23.0,14.0
