,Year,HLIEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.29,21.04,6.72,-20.75,-6.43,-6.43,16.0,97.0
1,2000,7.22,-9.1,7.87,16.32,-0.65,0.91,16.0,52.0
2,2001,-6.83,-11.89,-4.99,5.06,-1.84,0.98,13.0,59.0
3,2002,-18.22,-22.1,-18.69,3.89,0.48,1.01,17.0,47.0
4,2003,22.81,28.68,28.44,-5.88,-5.63,0.99,17.0,89.0
5,2004,11.56,10.88,12.97,0.68,-1.41,0.99,0.99,65.0
6,2005,6.13,4.91,5.95,1.22,0.18,0.87,68.0,43.0
7,2006,21.0,15.79,18.15,5.21,2.85,0.89,21.0,15.0
8,2007,1.6,5.49,1.42,-3.9,0.17,0.89,23.0,52.0
9,2008,-29.67,-37.0,-37.09,7.33,7.42,0.89,49.0,7.0
10,2009,17.5,26.46,24.13,-8.96,-6.63,0.89,54.0,83.0
11,2010,18.92,15.06,13.66,3.86,5.26,0.86,43.0,6.0
12,2011,7.59,2.11,-0.75,5.48,8.34,0.8,37.0,6.0
13,2012,13.44,16.0,14.57,-2.56,-1.13,0.78,44.0,67.0
14,2013,31.6,32.39,31.21,-0.79,0.39,0.78,34.0,46.0
15,YTD,13.03,13.98,10.25,-0.95,2.77,0.79,20.0,12.0
