,Year,HLLVX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.05,-0.82,2.21,3.87,0.84,0.84,37.0,29.0
1,2000,7.67,11.63,7.59,-3.96,0.07,0.53,26.0,55.0
2,2001,8.06,8.44,7.27,-0.38,0.79,0.54,46.0,24.0
3,2002,6.19,10.26,5.47,-4.07,0.72,0.55,50.0,34.0
4,2003,2.3,4.1,2.54,-1.8,-0.23,0.55,27.0,52.0
5,2004,1.21,4.34,1.63,-3.13,-0.42,0.55,0.55,64.0
6,2005,1.94,2.43,1.45,-0.49,0.49,0.55,27.0,21.0
7,2006,4.31,4.33,4.05,-0.03,0.26,0.55,22.0,31.0
8,2007,6.07,6.97,4.29,-0.89,1.78,0.55,44.0,12.0
9,2008,3.63,5.24,-4.23,-1.61,7.86,0.55,40.0,8.0
10,2009,4.96,5.93,9.3,-0.97,-4.34,0.55,51.0,80.0
11,2010,3.06,6.54,4.11,-3.48,-1.05,0.54,31.0,69.0
12,2011,1.66,7.84,1.66,-6.18,-0.0,0.54,36.0,44.0
13,2012,1.66,4.21,3.67,-2.56,-2.01,0.55,40.0,86.0
14,2013,0.12,-2.02,0.45,2.15,-0.33,0.55,33.0,63.0
15,YTD,0.91,5.87,1.45,-4.95,-0.54,0.55,38.0,72.0
