,Year,HLOMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.1,-2.06,-3.47,-0.04,1.37,1.37,1.37,13.0
1,2000,8.97,11.68,10.11,-2.71,-1.13,-1.13,35.0,75.0
2,2001,4.62,5.13,4.09,-0.51,0.52,0.6,16.0,21.0
3,2002,8.98,9.6,8.06,-0.62,0.92,0.6,21.0,17.0
4,2003,4.09,5.31,4.36,-1.22,-0.27,0.6,15.0,47.0
5,2004,2.79,4.48,3.2,-1.69,-0.4,1.5,1.5,61.0
6,2005,1.7,3.51,2.12,-1.81,-0.42,0.61,7.0,58.0
7,2006,3.65,4.84,3.69,-1.19,-0.04,0.63,4.0,40.0
8,2007,3.86,3.36,2.26,0.5,1.59,0.63,19.0,5.0
9,2008,2.02,-2.47,-4.43,4.49,6.45,0.63,15.0,10.0
10,2009,8.0,12.91,12.82,-4.92,-4.82,0.63,12.0,77.0
11,2010,2.26,2.38,1.17,-0.12,1.09,0.62,7.0,19.0
12,2011,8.11,10.7,9.24,-2.59,-1.13,0.62,7.0,74.0
13,2012,4.13,6.78,6.79,-2.65,-2.66,0.63,6.0,75.0
14,2013,-1.4,-2.55,-3.98,1.16,2.59,0.62,6.0,1.0
15,YTD,5.06,8.5,8.08,-3.45,-3.02,0.63,3.0,84.0
