,Year,ICPHX_Returns,BofAML USD LIBOR 3 Mon CM,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-8.39,5.33,-8.38,-13.72,-0.01,-0.01,-0.01,100.0
1,2000,-6.24,6.61,-6.19,-12.85,-0.05,1.29,55.0,100.0
2,2001,-4.03,5.04,-3.87,-9.07,-0.16,1.49,26.0,100.0
3,2002,17.75,1.95,17.89,15.8,-0.14,1.5,76.0,100.0
4,2003,19.27,1.29,19.43,17.98,-0.16,1.32,1.32,100.0
5,2004,8.48,1.3,8.59,7.18,-0.11,1.24,1.24,100.0
6,2005,-4.24,3.14,-4.1,-7.38,-0.14,1.19,1.19,100.0
7,2006,8.45,5.09,4.47,3.36,3.98,1.13,1.13,58.0
8,2007,11.03,5.64,5.5,5.39,5.53,1.09,1.09,50.0
9,2008,1.08,3.82,-2.38,-2.74,3.46,1.09,1.09,34.0
10,2009,2.36,0.99,-1.73,1.37,4.1,0.94,0.94,24.0
11,2010,8.68,0.33,-0.02,8.34,8.7,1.07,1.07,4.0
12,2011,-1.84,0.27,-3.33,-2.11,1.49,1.05,1.05,29.0
13,2012,5.02,0.51,3.34,4.51,1.68,1.06,1.06,38.0
14,2013,-3.32,0.29,-3.28,-3.61,-0.04,1.07,1.07,49.0
15,YTD,-6.22,0.22,-0.77,-6.44,-5.45,-5.45,-5.45,85.0
