,Year,IEMFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,51.58,40.83,55.19,10.75,-3.62,1.1,1.1,66.0
1,2004,27.04,20.91,23.54,6.13,3.49,1.1,1.1,21.0
2,2005,37.98,16.62,31.54,21.36,6.44,1.1,57.0,17.0
3,2006,31.99,26.65,32.06,5.34,-0.06,1.1,57.0,51.0
4,2007,43.4,16.65,36.68,26.75,6.72,1.1,50.0,13.0
5,2008,-61.07,-45.53,-54.44,-15.55,-6.63,1.1,38.0,93.0
6,2009,86.38,41.45,73.81,44.93,12.57,1.1,44.0,13.0
7,2010,19.25,11.15,19.26,8.09,-0.01,1.1,22.0,41.0
8,2011,-18.63,-13.71,-19.86,-4.92,1.23,1.1,24.0,39.0
9,2012,20.49,16.83,18.15,3.66,2.34,1.1,27.0,26.0
10,2013,-4.84,15.29,-0.14,-20.13,-4.71,1.1,36.0,75.0
11,YTD,7.59,-0.27,1.96,7.86,5.62,5.62,5.62,7.0
