,Year,IGBFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.49,-0.82,-2.86,-3.67,-1.63,-1.63,48.0,54.0
1,2000,2.99,11.63,3.21,-8.64,-0.22,-0.22,48.0,48.0
2,2001,1.15,8.44,1.95,-7.29,-0.8,1.32,24.0,52.0
3,2002,14.12,10.26,14.1,3.86,0.02,1.34,51.0,51.0
4,2003,13.27,4.1,13.79,9.17,-0.52,1.36,1.36,62.0
5,2004,9.98,4.34,8.98,5.64,1.0,1.34,1.34,43.0
6,2005,-5.32,2.43,-3.33,-7.75,-2.0,1.35,73.0,53.0
7,2006,6.87,4.33,5.42,2.54,1.45,1.25,68.0,26.0
8,2007,7.48,6.97,7.28,0.51,0.2,1.25,77.0,60.0
9,2008,-1.08,5.24,-1.57,-6.32,0.5,1.25,75.0,51.0
10,2009,12.07,5.93,13.12,6.14,-1.05,1.25,69.0,46.0
11,2010,6.37,6.54,6.35,-0.17,0.02,1.25,62.0,41.0
12,2011,4.47,7.84,3.39,-3.37,1.08,1.21,57.0,30.0
13,2012,6.31,4.21,8.09,2.1,-1.78,1.15,34.0,71.0
14,2013,-8.08,-2.02,-2.62,-6.06,-5.46,1.1,47.0,94.0
15,YTD,2.12,5.87,2.75,-3.74,-0.62,-0.62,-0.62,54.0
