,Year,IGLGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,37.09,30.63,41.13,6.46,-4.04,1.25,83.0,47.0
1,2000,-23.37,-15.31,-9.14,-8.06,-14.23,1.22,131.0,95.0
2,2001,-22.29,-19.73,-17.51,-2.56,-4.78,1.18,218.0,66.0
3,2002,-23.38,-14.95,-19.36,-8.43,-4.02,1.3,123.0,77.0
4,2003,25.16,40.83,34.49,-15.67,-9.33,1.5,1.5,93.0
5,2004,16.08,20.91,15.27,-4.83,0.81,1.41,1.41,41.0
6,2005,18.41,16.62,11.61,1.79,6.8,1.57,93.0,6.0
7,2006,19.15,26.65,19.72,-7.51,-0.57,1.51,112.0,57.0
8,2007,13.6,16.65,11.28,-3.06,2.32,1.39,100.0,35.0
9,2008,-42.15,-45.53,-41.91,3.38,-0.24,1.46,97.0,51.0
10,2009,29.29,41.45,35.27,-12.16,-5.98,1.44,81.0,69.0
11,2010,13.55,11.15,13.74,2.4,-0.19,1.45,54.0,43.0
12,2011,-9.63,-13.71,-7.93,4.07,-1.7,1.36,44.0,63.0
13,2012,15.83,16.83,15.84,-1.0,-0.01,1.36,50.0,52.0
14,2013,27.35,15.29,25.19,12.07,2.17,1.45,46.0,37.0
15,YTD,2.59,-0.27,4.54,2.86,-1.95,-1.95,-1.95,72.0
