,Year,IMRFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.96,13.49,21.83,-1.53,-9.86,-9.86,81.0,73.0
1,2000,-3.83,1.68,0.23,-5.51,-4.05,0.96,102.0,69.0
2,2001,-5.12,-2.46,-3.23,-2.66,-1.89,0.97,152.0,18.0
3,2002,-12.59,-6.69,-2.16,-5.9,-10.43,1.01,116.0,28.0
4,2003,19.76,22.48,25.32,-2.72,-5.56,1.03,196.0,85.0
5,2004,12.93,11.48,15.24,1.45,-2.31,0.99,0.99,19.0
6,2005,7.39,7.04,6.56,0.35,0.83,1.09,134.0,41.0
7,2006,16.15,12.95,16.61,3.2,-0.46,1.12,122.0,9.0
8,2007,6.89,8.63,11.39,-1.74,-4.5,1.12,123.0,58.0
9,2008,-30.21,-22.19,-28.98,-8.02,-1.22,1.01,123.0,8.0
10,2009,18.58,21.77,24.37,-3.2,-5.79,1.1,136.0,96.0
11,2010,10.65,12.33,10.58,-1.68,0.07,1.05,114.0,89.0
12,2011,1.46,0.59,-3.99,0.86,5.45,1.13,142.0,3.0
13,2012,12.8,12.04,10.74,0.76,2.06,1.15,129.0,64.0
14,2013,12.88,14.31,10.07,-1.43,2.81,1.15,150.0,49.0
15,YTD,2.18,5.81,3.26,-3.63,-1.08,1.18,104.0,70.0
