,Year,INDZX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,9.18,21.04,6.72,-11.86,2.46,2.46,84.0,34.0
1,2000,-1.76,-9.1,7.87,7.34,-9.63,0.93,52.0,86.0
2,2001,2.69,-11.89,-4.99,14.57,7.67,0.95,105.0,12.0
3,2002,-18.39,-22.1,-18.69,3.71,0.3,1.02,40.0,48.0
4,2003,41.89,28.68,28.44,13.21,13.46,1.04,38.0,3.0
5,2004,18.23,10.88,12.97,7.35,5.26,1.06,1.06,7.0
6,2005,13.33,4.91,5.95,8.42,7.38,1.04,24.0,2.0
7,2006,19.66,15.79,18.15,3.86,1.5,1.1,28.0,30.0
8,2007,7.99,5.49,1.42,2.5,6.57,1.0,31.0,10.0
9,2008,-40.41,-37.0,-37.09,-3.41,-3.32,1.08,31.0,76.0
10,2009,26.89,26.46,24.13,0.42,2.76,0.99,38.0,28.0
11,2010,16.12,15.06,13.66,1.06,2.46,1.12,34.0,18.0
12,2011,-5.28,2.11,-0.75,-7.39,-4.53,1.13,36.0,81.0
13,2012,14.8,16.0,14.57,-1.2,0.23,1.1,16.0,50.0
14,2013,30.69,32.39,31.21,-1.7,-0.52,1.08,43.0,59.0
15,YTD,11.46,13.98,10.25,-2.52,1.21,1.08,74.0,34.0
