,Year,INEAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.0,-0.82,5.05,7.82,1.94,1.94,47.0,25.0
1,2000,-10.33,11.63,-7.12,-21.96,-3.21,0.98,44.0,75.0
2,2001,4.77,8.44,2.39,-3.68,2.38,1.04,76.0,34.0
3,2002,-7.04,10.26,-1.52,-17.3,-5.52,1.03,125.0,86.0
4,2003,25.72,4.1,24.36,21.61,1.36,1.07,139.0,37.0
5,2004,11.78,4.34,9.99,7.44,1.79,1.04,1.04,16.0
6,2005,4.34,2.43,2.59,1.91,1.75,1.04,105.0,8.0
7,2006,10.76,4.33,10.14,6.42,0.62,1.08,93.0,32.0
8,2007,2.06,6.97,1.47,-4.9,0.59,1.08,95.0,43.0
9,2008,-24.58,5.24,-26.41,-29.82,1.83,1.1,64.0,47.0
10,2009,49.91,5.93,46.7,43.98,3.22,1.02,83.0,39.0
11,2010,13.38,6.54,14.24,6.84,-0.86,1.03,94.0,68.0
12,2011,5.08,7.84,2.83,-2.76,2.25,1.06,96.0,14.0
13,2012,15.61,4.21,14.67,11.4,0.94,1.04,76.0,33.0
14,2013,5.9,-2.02,6.9,7.92,-1.0,1.07,81.0,66.0
15,YTD,4.29,5.87,2.83,-1.57,1.47,1.07,63.0,14.0
