,Year,INTAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.5,-2.06,-4.7,-2.44,0.21,0.21,9.0,52.0
1,2000,12.62,11.68,11.24,0.94,1.38,0.98,28.0,15.0
2,2001,3.83,5.13,3.92,-1.29,-0.08,0.81,53.0,50.0
3,2002,8.01,9.6,8.45,-1.6,-0.44,0.81,102.0,65.0
4,2003,3.75,5.31,4.9,-1.56,-1.14,0.82,0.82,89.0
5,2004,3.61,4.48,3.77,-0.87,-0.16,0.81,0.81,56.0
6,2005,2.99,3.51,3.1,-0.53,-0.11,0.82,29.0,54.0
7,2006,4.28,4.84,4.57,-0.56,-0.29,0.79,32.0,58.0
8,2007,1.59,3.36,1.27,-1.77,0.33,0.79,51.0,49.0
9,2008,-6.74,-2.47,-9.45,-4.26,2.71,0.79,37.0,38.0
10,2009,15.11,12.91,17.3,2.19,-2.19,0.79,29.0,56.0
11,2010,1.96,2.38,1.65,-0.42,0.3,0.79,23.0,41.0
12,2011,11.18,10.7,10.64,0.48,0.54,0.79,30.0,26.0
13,2012,10.73,6.78,8.87,3.95,1.86,0.79,13.0,16.0
14,2013,-3.64,-2.55,-4.59,-1.09,0.95,0.81,16.0,26.0
15,YTD,11.32,8.5,9.8,2.82,1.53,0.81,22.0,19.0
