,Year,INUTX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.72,21.04,6.72,-12.33,1.99,1.99,71.0,37.0
1,2000,17.02,-9.1,7.87,26.12,9.15,0.99,89.0,13.0
2,2001,-22.98,-11.89,-4.99,-11.09,-17.99,1.03,85.0,99.0
3,2002,-21.47,-22.1,-18.69,0.63,-2.77,1.06,106.0,73.0
4,2003,16.59,28.68,28.44,-12.1,-11.85,1.15,134.0,99.0
5,2004,13.72,10.88,12.97,2.84,0.76,1.02,1.02,39.0
6,2005,7.41,4.91,5.95,2.5,1.46,1.12,24.0,31.0
7,2006,23.25,15.79,18.15,7.45,5.1,1.16,19.0,4.0
8,2007,5.36,5.49,1.42,-0.14,3.93,1.15,17.0,23.0
9,2008,-35.92,-37.0,-37.09,1.08,1.17,1.11,20.0,41.0
10,2009,28.71,26.46,24.13,2.24,4.58,1.03,21.0,20.0
11,2010,16.87,15.06,13.66,1.8,3.2,1.16,23.0,15.0
12,2011,6.57,2.11,-0.75,4.46,7.32,1.16,105.0,11.0
13,2012,13.09,16.0,14.57,-2.92,-1.48,1.08,28.0,71.0
14,2013,25.78,32.39,31.21,-6.61,-5.43,1.05,62.0,91.0
15,YTD,11.45,13.98,10.25,-2.52,1.2,1.01,73.0,34.0
