,Year,JEMDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.97,-0.82,29.58,26.79,-3.61,-3.61,-3.61,69.0
1,2000,15.23,11.63,12.68,3.6,2.55,1.25,1.25,14.0
2,2001,4.77,8.44,12.83,-3.67,-8.06,-8.06,-8.06,100.0
3,2002,11.44,10.26,12.69,1.18,-1.25,1.25,157.0,72.0
4,2003,29.53,4.1,30.83,25.42,-1.3,1.25,157.0,62.0
5,2004,14.26,4.34,12.31,9.92,1.96,1.26,1.26,14.0
6,2005,14.83,2.43,11.5,12.4,3.34,1.25,337.0,11.0
7,2006,12.42,4.33,10.99,8.09,1.44,1.26,270.0,20.0
8,2007,4.55,6.97,5.36,-2.41,-0.8,1.25,68.0,58.0
9,2008,-28.73,5.24,-17.64,-33.97,-11.09,1.22,80.0,94.0
10,2009,41.4,5.93,32.43,35.47,8.97,1.21,63.0,23.0
11,2010,13.48,6.54,12.34,6.94,1.14,1.32,124.0,32.0
12,2011,6.08,7.84,1.98,-1.76,4.11,1.04,126.0,20.0
13,2012,20.49,4.21,17.95,16.27,2.54,1.0,124.0,14.0
14,2013,-6.78,-2.02,-7.27,-4.75,0.49,1.0,152.0,41.0
15,YTD,7.01,5.87,3.43,1.14,3.58,0.99,120.0,19.0
