,Year,JIISX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.0,1.0,1.0
1,2004,16.01,10.88,10.02,5.13,5.99,1.0,1.0,59.0
2,2005,6.63,4.91,5.88,1.71,0.75,1.0,177.0,79.0
3,2006,15.92,15.79,14.17,0.13,1.75,1.0,79.0,46.0
4,2007,2.35,5.49,6.16,-3.14,-3.81,1.0,89.0,38.0
5,2008,-41.96,-37.0,-37.79,-4.96,-4.17,1.0,108.0,82.0
6,2009,30.23,26.46,28.17,3.76,2.06,1.0,105.0,31.0
7,2010,15.25,15.06,14.01,0.18,1.24,1.0,145.0,27.0
8,2011,0.21,2.11,-1.27,-1.9,1.48,1.0,75.0,39.0
9,2012,19.21,16.0,14.96,3.21,4.25,1.0,57.0,7.0
10,2013,35.47,32.39,31.5,3.08,3.97,1.0,82.0,19.0
11,YTD,13.94,13.98,11.28,-0.03,2.66,0.91,49.0,17.0
