,Year,JMIEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,59.41,30.63,70.56,28.78,-11.15,-11.15,-11.15,76.0
1,2000,-30.23,-15.31,-30.33,-14.91,0.11,1.45,65.0,45.0
2,2001,-4.12,-19.73,-3.83,15.62,-0.29,-0.29,76.0,56.0
3,2002,-8.84,-14.95,-6.05,6.11,-2.78,1.45,69.0,74.0
4,2003,50.9,40.83,55.19,10.07,-4.29,1.45,1.45,71.0
5,2004,37.33,20.91,23.54,16.43,13.79,1.45,1.45,2.0
6,2005,28.28,16.62,31.54,11.66,-3.26,1.45,149.0,71.0
7,2006,34.89,26.65,32.06,8.23,2.83,1.43,4.0,24.0
8,2007,37.04,16.65,36.68,20.39,0.36,1.42,26.0,48.0
9,2008,-49.47,-45.53,-54.44,-3.95,4.97,1.42,19.0,18.0
10,2009,67.19,41.45,73.81,25.75,-6.62,1.43,10.0,75.0
11,2010,18.3,11.15,19.26,7.15,-0.96,1.4,14.0,51.0
12,2011,-16.98,-13.71,-19.86,-3.27,2.87,1.38,9.0,21.0
13,2012,19.01,16.83,18.15,2.18,0.86,1.41,20.0,46.0
14,2013,-5.23,15.29,-0.14,-20.51,-5.09,1.36,34.0,79.0
15,YTD,7.31,-0.27,1.96,7.58,5.35,5.35,5.35,8.0
