,Year,JPDEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,17.39,21.04,20.16,-3.65,-2.77,-2.77,-2.77,64.0
1,2000,-9.06,-9.1,-6.31,0.04,-2.76,-2.76,51.0,53.0
2,2001,-10.48,-11.89,-13.5,1.41,3.02,3.02,44.0,23.0
3,2002,-24.17,-22.1,-22.25,-2.07,-1.92,0.55,60.0,74.0
4,2003,29.91,28.68,27.05,1.22,2.86,0.55,0.55,17.0
5,2004,11.29,10.88,10.02,0.4,1.26,0.55,0.55,30.0
6,2005,3.49,4.91,5.88,-1.42,-2.39,0.55,24.0,80.0
7,2006,15.9,15.79,14.17,0.11,1.73,0.55,26.0,20.0
8,2007,3.86,5.49,6.16,-1.63,-2.3,0.55,7.0,73.0
9,2008,-36.11,-37.0,-37.79,0.89,1.68,0.55,65.0,28.0
10,2009,30.62,26.46,28.17,4.15,2.45,0.55,84.0,29.0
11,2010,14.12,15.06,14.01,-0.95,0.11,0.55,65.0,46.0
12,2011,-1.93,2.11,-1.27,-4.04,-0.66,0.55,60.0,61.0
13,2012,17.57,16.0,14.96,1.57,2.61,0.55,55.0,15.0
14,2013,35.11,32.39,31.5,2.73,3.61,0.55,67.0,21.0
15,YTD,13.44,13.98,11.28,-0.53,2.16,2.16,2.16,27.0
