,Year,JPDVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,14.23,13.49,10.71,0.73,3.52,3.52,3.52,77.0
1,2000,-3.97,1.68,1.82,-5.65,-5.79,-5.79,-5.79,30.0
2,2001,-5.54,-2.46,-5.05,-3.08,-0.49,0.65,107.0,7.0
3,2002,-12.98,-6.69,-12.02,-6.29,-0.96,0.65,232.0,3.0
4,2003,21.21,22.48,20.35,-1.27,0.86,0.65,232.0,92.0
5,2004,9.55,11.48,8.86,-1.93,0.69,0.65,0.65,60.0
6,2005,4.54,7.04,5.13,-2.5,-0.59,0.65,214.0,64.0
7,2006,12.83,12.95,11.29,-0.12,1.54,0.65,127.0,21.0
8,2007,7.06,8.63,5.99,-1.57,1.07,0.65,218.0,35.0
9,2008,-25.24,-22.19,-28.0,-3.05,2.76,0.65,234.0,24.0
10,2009,27.14,21.77,24.13,5.37,3.01,0.62,165.0,29.0
11,2010,14.4,12.33,11.83,2.06,2.56,0.51,70.0,11.0
12,2011,-1.48,0.59,-0.11,-2.07,-1.37,0.5,76.0,65.0
13,2012,16.1,12.04,11.72,4.06,4.38,0.53,66.0,3.0
14,2013,18.05,14.31,16.48,3.74,1.57,0.53,53.0,39.0
15,YTD,7.79,5.81,6.95,1.99,0.84,0.55,58.0,36.0
