,Year,JPIOX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.9,30.63,40.28,9.27,-0.39,-0.39,-0.39,39.0
1,2000,-16.21,-15.31,-16.34,-0.9,0.13,0.13,86.0,47.0
2,2001,-19.06,-19.73,-21.67,0.68,2.62,2.62,110.0,30.0
3,2002,-17.23,-14.95,-16.69,-2.28,-0.54,0.92,121.0,54.0
4,2003,34.96,40.83,33.58,-5.87,1.38,0.92,0.92,36.0
5,2004,16.69,20.91,17.39,-4.22,-0.7,0.92,0.92,56.0
6,2005,14.24,16.62,14.72,-2.38,-0.48,0.92,58.0,48.0
7,2006,29.39,26.65,24.77,2.73,4.62,0.92,92.0,7.0
8,2007,10.77,16.65,12.71,-5.88,-1.94,0.92,92.0,63.0
9,2008,-41.44,-45.53,-43.99,4.09,2.55,0.92,70.0,22.0
10,2009,31.46,41.45,31.24,-9.99,0.21,0.92,85.0,43.0
11,2010,9.22,11.15,10.24,-1.93,-1.01,0.91,57.0,60.0
12,2011,-13.23,-13.71,-13.97,0.48,0.74,0.89,76.0,39.0
13,2012,20.06,16.83,18.29,3.23,1.77,0.89,45.0,23.0
14,2013,19.87,15.29,19.44,4.58,0.43,0.85,36.0,50.0
15,YTD,-2.85,-0.27,-1.63,-2.58,-1.22,-1.22,-1.22,71.0
