,Year,JPIVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.0,1.0,1.0
1,2004,17.51,10.88,12.97,6.63,4.54,1.0,1.0,10.0
2,2005,10.14,4.91,5.95,5.22,4.18,1.0,112.0,13.0
3,2006,22.92,15.79,18.15,7.13,4.77,1.0,53.0,4.0
4,2007,0.11,5.49,1.42,-5.38,-1.31,1.0,59.0,62.0
5,2008,-36.52,-37.0,-37.09,0.47,0.57,1.0,78.0,50.0
6,2009,23.91,26.46,24.13,-2.55,-0.22,1.0,107.0,46.0
7,2010,13.77,15.06,13.66,-1.3,0.11,0.86,113.0,43.0
8,2011,-0.99,2.11,-0.75,-3.1,-0.24,0.8,72.0,50.0
9,2012,18.11,16.0,14.57,2.11,3.55,0.8,82.0,14.0
10,2013,35.42,32.39,31.21,3.03,4.21,0.79,48.0,16.0
11,YTD,13.38,13.98,10.25,-0.59,3.13,0.79,49.0,8.0
