,Year,JPMNX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.05,-0.82,-2.6,0.77,2.55,2.0,2.0,30.0
1,2000,8.38,11.63,2.11,-3.25,6.27,1.5,165.0,16.0
2,2001,7.43,8.44,7.29,-1.01,0.14,2.71,141.0,42.0
3,2002,-3.67,10.26,8.82,-13.92,-12.48,1.25,138.0,91.0
4,2003,1.43,4.1,0.37,-2.68,1.05,1.19,1.19,27.0
5,2004,0.54,4.34,2.72,-3.8,-2.18,2.64,2.64,81.0
6,2005,-0.33,2.43,2.88,-2.76,-3.21,2.96,313.0,76.0
7,2006,7.13,4.33,4.78,2.79,2.34,1.0,476.0,10.0
8,2007,8.01,6.97,2.03,1.04,5.98,1.0,387.0,9.0
9,2008,-0.55,5.24,-0.33,-5.79,-0.22,1.01,517.0,42.0
10,2009,10.15,5.93,-1.18,4.22,11.33,1.02,558.0,5.0
11,2010,-0.9,6.54,-2.0,-7.44,1.1,0.98,473.0,36.0
12,2011,-7.04,7.84,-0.3,-14.88,-6.74,0.98,231.0,86.0
13,2012,4.51,4.21,0.18,0.3,4.33,0.99,186.0,9.0
14,2013,2.26,-2.02,2.92,4.28,-0.66,0.99,149.0,56.0
15,YTD,2.47,5.87,0.85,-3.4,1.62,1.62,1.62,26.0
