,Year,JUSSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,44.3,21.04,19.95,23.26,24.35,0.8,104.0,11.0
1,2000,-9.59,-9.1,11.89,-0.49,-21.48,0.8,104.0,62.0
2,2001,-8.85,-11.89,8.92,3.04,-17.76,-17.76,-17.76,48.0
3,2002,-20.36,-22.1,-16.22,1.74,-4.13,0.83,90.0,22.0
4,2003,40.03,28.68,43.41,11.34,-3.38,0.83,0.83,66.0
5,2004,13.82,10.88,18.94,2.94,-5.12,0.83,0.83,87.0
6,2005,4.18,4.91,6.75,-0.73,-2.57,0.83,32.0,73.0
7,2006,15.87,15.79,15.03,0.07,0.84,0.83,22.0,40.0
8,2007,-6.36,5.49,-1.1,-11.85,-5.26,0.83,46.0,80.0
9,2008,-34.18,-37.0,-36.56,2.82,2.38,0.84,130.0,37.0
10,2009,35.08,26.46,31.8,8.62,3.28,0.83,52.0,29.0
11,2010,27.15,15.06,25.61,12.09,1.55,0.83,56.0,32.0
12,2011,-3.75,2.11,-4.07,-5.86,0.32,0.82,48.0,53.0
13,2012,21.55,16.0,15.46,5.55,6.09,0.83,74.0,7.0
14,2013,40.61,32.39,37.39,8.23,3.22,0.82,54.0,23.0
15,YTD,4.95,13.98,1.83,-9.02,3.13,0.82,51.0,16.0
