,Year,JVAAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,1.25,90.0,90.0
1,2006,22.02,15.79,18.15,6.22,3.86,1.25,55.0,5.0
2,2007,2.91,5.49,1.42,-2.59,1.48,1.25,77.0,33.0
3,2008,-35.78,-37.0,-37.09,1.22,1.31,1.25,103.0,39.0
4,2009,35.07,26.46,24.13,8.6,10.94,1.25,70.0,46.0
5,2010,20.22,15.06,13.66,5.16,6.56,1.24,45.0,69.0
6,2011,1.11,2.11,-0.75,-1.0,1.86,1.24,33.0,14.0
7,2012,18.32,16.0,14.57,2.32,3.76,1.25,49.0,12.0
8,2013,31.59,32.39,31.21,-0.8,0.37,1.24,22.0,46.0
9,YTD,12.68,13.98,10.25,-1.3,2.43,1.24,36.0,17.0
