,Year,LTEBX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.6,-2.06,-2.06,1.46,1.46,1.46,17.0,10.0
1,2000,7.44,11.68,9.16,-4.25,-1.72,0.75,34.0,89.0
2,2001,5.24,5.13,4.39,0.12,0.85,0.75,21.0,11.0
3,2002,7.81,9.6,8.57,-1.79,-0.76,0.7,9.0,71.0
4,2003,4.28,5.31,4.1,-1.03,0.19,0.66,10.0,40.0
5,2004,2.77,4.48,2.83,-1.71,-0.06,0.66,0.66,47.0
6,2005,1.56,3.51,1.8,-1.95,-0.24,0.64,12.0,56.0
7,2006,3.61,4.84,3.67,-1.23,-0.06,0.63,25.0,51.0
8,2007,3.24,3.36,2.75,-0.12,0.49,0.65,26.0,38.0
9,2008,-1.31,-2.47,-2.32,1.17,1.01,0.63,16.0,45.0
10,2009,9.45,12.91,11.41,-3.46,-1.96,0.63,7.0,71.0
11,2010,3.64,2.38,2.22,1.26,1.42,0.61,13.0,7.0
12,2011,7.48,10.7,9.0,-3.22,-1.52,0.6,14.0,80.0
13,2012,3.81,6.78,5.62,-2.97,-1.82,0.6,9.0,82.0
14,2013,-0.15,-2.55,-2.27,2.41,2.12,0.6,13.0,3.0
15,YTD,3.41,8.5,6.44,-5.09,-3.03,0.6,9.0,95.0
