,Year,LTNYX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.87,-2.06,0.34,1.18,-1.22,0.77,37.0,14.0
1,2000,7.6,11.68,6.75,-4.09,0.85,0.78,37.0,94.0
2,2001,4.74,5.13,4.5,-0.38,0.24,0.74,23.0,14.0
3,2002,6.33,9.6,6.4,-3.28,-0.07,0.74,19.0,93.0
4,2003,4.79,5.31,2.89,-0.52,1.9,0.76,0.76,23.0
5,2004,4.77,4.48,1.8,0.29,2.97,0.77,0.77,2.0
6,2005,5.13,3.51,0.92,1.61,4.2,0.79,22.0,1.0
7,2006,5.3,4.84,3.05,0.46,2.25,0.79,23.0,1.0
8,2007,1.74,3.36,3.43,-1.62,-1.69,0.74,18.0,82.0
9,2008,-10.17,-2.47,1.55,-7.7,-11.73,0.83,19.0,95.0
10,2009,19.45,12.91,6.27,6.53,13.18,1.01,12.0,1.0
11,2010,3.51,2.38,1.93,1.13,1.57,0.72,14.0,1.0
12,2011,7.76,10.7,4.63,-2.94,3.14,0.72,15.0,74.0
13,2012,6.13,6.78,3.05,-0.65,3.08,0.71,15.0,11.0
14,2013,-6.55,-2.55,-1.37,-4.0,-5.19,0.76,8.0,93.0
15,YTD,6.53,8.5,3.38,-1.98,3.15,3.15,3.15,10.0
