,Year,MACPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.54,13.49,10.71,-8.96,-6.17,-6.17,33.0,33.0
1,2000,7.76,1.68,1.82,6.08,5.94,5.94,33.0,33.0
2,2001,-4.84,-2.46,-5.05,-2.38,0.21,0.59,46.0,46.0
3,2002,-13.43,-6.69,-12.02,-6.74,-1.41,0.57,31.0,31.0
4,2003,21.49,22.48,20.35,-0.99,1.14,0.59,52.0,52.0
5,2004,8.26,11.48,8.86,-3.22,-0.6,0.58,0.58,0.58
6,2005,4.27,7.04,5.13,-2.77,-0.85,0.58,15.0,15.0
7,2006,14.83,12.95,11.29,1.88,3.54,0.59,12.0,12.0
8,2007,5.61,8.63,5.99,-3.02,-0.38,0.55,22.0,22.0
9,2008,-28.06,-22.19,-28.0,-5.86,-0.05,0.56,27.0,27.0
10,2009,18.63,21.77,24.13,-3.14,-5.5,0.64,94.0,94.0
11,2010,11.09,12.33,11.83,-1.24,-0.74,0.76,0.76,0.76
12,2011,2.9,0.59,-0.11,2.31,3.02,0.76,0.76,0.76
13,2012,12.75,12.04,11.72,0.71,1.04,0.66,0.66,0.66
14,2013,20.35,14.31,16.48,6.04,3.87,0.66,0.66,0.66
15,YTD,10.27,5.81,6.95,4.46,3.32,0.63,0.63,7.0
