,Year,MADCX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,67.59,30.63,70.56,36.96,-2.97,-2.97,85.0,52.0
1,2000,-29.83,-15.31,-30.33,-14.52,0.5,1.84,52.0,40.0
2,2001,0.69,-19.73,-3.83,20.42,4.52,1.65,41.0,13.0
3,2002,-9.97,-14.95,-6.05,4.98,-3.92,2.44,115.0,85.0
4,2003,51.64,40.83,55.19,10.81,-3.55,2.15,78.0,64.0
5,2004,22.48,20.91,23.54,1.57,-1.07,2.02,2.02,57.0
6,2005,35.13,16.62,31.54,18.51,3.59,1.6,110.0,29.0
7,2006,27.81,26.65,32.06,1.16,-4.25,1.5,121.0,81.0
8,2007,38.05,16.65,36.68,21.39,1.36,1.4,140.0,42.0
9,2008,-53.44,-45.53,-54.44,-7.91,1.0,1.54,76.0,40.0
10,2009,75.74,41.45,73.81,34.29,1.93,1.48,191.0,37.0
11,2010,17.04,11.15,19.26,5.89,-2.22,1.33,135.0,73.0
12,2011,-17.43,-13.71,-19.86,-3.73,2.42,1.28,138.0,26.0
13,2012,21.45,16.83,18.15,4.62,3.31,1.33,3.0,19.0
14,2013,-2.19,15.29,-0.14,-17.48,-2.05,1.29,71.0,53.0
15,YTD,4.21,-0.27,1.96,4.49,2.25,2.25,2.25,23.0
