,Year,MAIIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,31.29,30.63,40.28,0.66,-8.99,0.64,0.64,60.0
1,2000,-17.8,-15.31,-16.34,-2.49,-1.46,-1.46,-1.46,60.0
2,2001,-22.63,-19.73,-21.67,-2.9,-0.96,0.64,0.64,61.0
3,2002,-16.06,-14.95,-16.69,-1.12,0.63,0.58,0.58,40.0
4,2003,38.39,40.83,33.58,-2.44,4.81,0.62,0.62,17.0
5,2004,19.78,20.91,17.39,-1.13,2.39,0.58,0.58,19.0
6,2005,13.19,16.62,14.72,-3.43,-1.53,0.55,0.55,65.0
7,2006,26.09,26.65,24.77,-0.56,1.32,0.47,23.0,34.0
8,2007,10.28,16.65,12.71,-6.38,-2.43,0.54,30.0,68.0
9,2008,-42.24,-45.53,-43.99,3.28,1.75,0.54,30.0,30.0
10,2009,28.38,41.45,31.24,-13.07,-2.87,0.54,30.0,62.0
11,2010,7.26,11.15,10.24,-3.9,-2.98,0.46,8.0,78.0
12,2011,-12.55,-13.71,-13.97,1.16,1.42,0.35,6.0,31.0
13,2012,18.58,16.83,18.29,1.74,0.29,0.34,21.0,42.0
14,2013,21.52,15.29,19.44,6.23,2.08,0.35,8.0,30.0
15,YTD,-2.22,-0.27,-1.63,-1.95,-0.59,-0.59,-0.59,57.0
