,Year,MAIOX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-14.74,-19.73,-24.05,4.99,9.31,1.72,442.0,8.0
1,2002,-7.77,-14.95,-19.15,7.18,11.38,1.67,307.0,5.0
2,2003,40.24,40.83,33.83,-0.59,6.41,1.73,193.0,18.0
3,2004,16.76,20.91,16.23,-4.14,0.53,1.42,1.42,42.0
4,2005,19.74,16.62,15.23,3.12,4.51,1.37,165.0,16.0
5,2006,23.34,26.65,23.95,-3.31,-0.61,1.34,118.0,54.0
6,2007,19.99,16.65,16.26,3.34,3.73,1.4,109.0,30.0
7,2008,-50.78,-45.53,-46.56,-5.26,-4.22,1.44,116.0,80.0
8,2009,37.98,41.45,38.02,-3.47,-0.05,1.52,117.0,40.0
9,2010,13.74,11.15,14.78,2.58,-1.05,1.47,116.0,56.0
10,2011,-15.93,-13.71,-12.3,-2.22,-3.63,1.51,105.0,82.0
11,2012,17.84,16.83,17.7,1.01,0.15,1.53,86.0,56.0
12,2013,20.14,15.29,18.58,4.85,1.56,1.49,73.0,39.0
13,YTD,-3.49,-0.27,-0.63,-3.22,-2.87,1.41,141.0,82.0
