,Year,MANKX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-7.24,-2.06,-4.71,-5.18,-2.52,-2.52,-2.52,97.0
1,2000,13.77,11.68,11.93,2.08,1.84,1.84,149.0,10.0
2,2001,3.82,5.13,3.83,-1.31,-0.01,0.59,76.0,41.0
3,2002,8.56,9.6,8.91,-1.04,-0.35,-0.35,54.0,69.0
4,2003,3.9,5.31,4.96,-1.41,-1.05,0.74,56.0,80.0
5,2004,4.44,4.48,3.69,-0.04,0.76,0.74,0.74,12.0
6,2005,4.15,3.51,3.25,0.63,0.9,0.74,27.0,10.0
7,2006,5.78,4.84,4.77,0.94,1.02,0.74,46.0,13.0
8,2007,1.21,3.36,1.5,-2.15,-0.29,0.73,19.0,68.0
9,2008,-11.07,-2.47,-9.21,-8.6,-1.86,0.74,16.0,72.0
10,2009,19.78,12.91,18.31,6.87,1.47,0.76,30.0,19.0
11,2010,2.81,2.38,1.7,0.43,1.11,0.75,19.0,7.0
12,2011,8.97,10.7,9.85,-1.74,-0.88,0.7,17.0,75.0
13,2012,10.34,6.78,8.18,3.56,2.16,0.76,19.0,14.0
14,2013,-5.89,-2.55,-5.32,-3.33,-0.56,0.71,24.0,73.0
15,YTD,12.65,8.5,9.94,4.15,2.72,0.74,18.0,11.0
