,Year,MANLX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.42,-2.06,-2.06,-3.36,-3.35,-3.35,126.0,68.0
1,2000,12.37,11.68,9.16,0.69,3.21,0.56,108.0,19.0
2,2001,5.0,5.13,4.39,-0.13,0.61,0.58,81.0,11.0
3,2002,9.15,9.6,8.57,-0.46,0.58,0.59,36.0,37.0
4,2003,6.3,5.31,4.1,0.99,2.2,0.59,38.0,7.0
5,2004,5.48,4.48,2.83,1.01,2.65,0.6,0.6,3.0
6,2005,4.86,3.51,1.8,1.34,3.06,0.59,35.0,3.0
7,2006,5.37,4.84,3.67,0.53,1.7,0.58,56.0,14.0
8,2007,1.57,3.36,2.75,-1.79,-1.19,0.59,46.0,51.0
9,2008,-8.58,-2.47,-2.32,-6.1,-6.26,0.6,61.0,55.0
10,2009,17.86,12.91,11.41,4.94,6.45,0.6,65.0,34.0
11,2010,3.09,2.38,2.22,0.71,0.87,0.59,70.0,12.0
12,2011,11.58,10.7,9.0,0.88,2.58,0.6,51.0,19.0
13,2012,9.81,6.78,5.62,3.03,4.19,0.57,39.0,33.0
14,2013,-3.06,-2.55,-2.27,-0.51,-0.8,0.56,37.0,12.0
15,YTD,9.72,8.5,6.44,1.22,3.28,0.57,35.0,7.0
