,Year,MASPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.32,21.04,19.95,12.28,13.37,13.37,58.0,18.0
1,2000,15.7,-9.1,11.89,24.8,3.81,1.08,89.0,37.0
2,2001,30.64,-11.89,8.92,42.53,21.73,1.04,42.0,2.0
3,2002,-23.11,-22.1,-16.22,-1.01,-6.89,0.99,54.0,82.0
4,2003,42.06,28.68,43.41,13.38,-1.35,1.07,68.0,51.0
5,2004,14.31,10.88,18.94,3.43,-4.63,1.02,1.02,84.0
6,2005,10.08,4.91,6.75,5.17,3.33,1.0,74.0,20.0
7,2006,12.37,15.79,15.03,-3.42,-2.66,1.02,77.0,74.0
8,2007,-1.11,5.49,-1.1,-6.6,-0.01,0.98,72.0,43.0
9,2008,-41.03,-37.0,-36.56,-4.03,-4.47,0.97,109.0,81.0
10,2009,27.9,26.46,31.8,1.43,-3.91,1.09,147.0,54.0
11,2010,28.54,15.06,25.61,13.48,2.94,1.07,79.0,18.0
12,2011,-2.47,2.11,-4.07,-4.58,1.6,1.01,52.0,39.0
13,2012,13.47,16.0,15.46,-2.53,-1.99,1.0,45.0,73.0
14,2013,42.83,32.39,37.39,10.44,5.44,0.99,51.0,14.0
15,YTD,2.8,13.98,1.83,-11.17,0.98,0.97,61.0,43.0
