,Year,MAWIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.95,-0.82,-2.86,12.77,14.81,0.93,37.0,1.0
1,2000,1.02,11.63,3.21,-10.6,-2.19,0.93,75.0,57.0
2,2001,5.37,8.44,1.95,-3.08,3.41,1.13,75.0,44.0
3,2002,-2.77,10.26,14.1,-13.02,-16.87,1.48,70.0,98.0
4,2003,36.07,4.1,13.79,31.97,22.28,1.1,1.1,1.0
5,2004,17.18,4.34,8.98,12.84,8.2,1.08,1.08,1.0
6,2005,-3.52,2.43,-3.33,-5.94,-0.19,1.0,103.0,97.0
7,2006,8.36,4.33,5.42,4.03,2.94,0.99,114.0,15.0
8,2007,7.87,6.97,7.28,0.91,0.59,1.04,134.0,15.0
9,2008,-2.23,5.24,-1.57,-7.47,-0.65,1.03,201.0,60.0
10,2009,10.34,5.93,13.12,4.41,-2.78,1.09,201.0,60.0
11,2010,4.24,6.54,6.35,-2.3,-2.11,1.03,130.0,80.0
12,2011,2.77,7.84,3.39,-5.07,-0.62,1.09,99.0,65.0
13,2012,8.68,4.21,8.09,4.47,0.59,1.02,68.0,29.0
14,2013,1.84,-2.02,-2.62,3.86,4.46,0.97,144.0,6.0
15,YTD,0.86,5.87,2.75,-5.01,-1.89,-1.89,-1.89,77.0
