,Year,MBCMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.43,-2.06,-4.6,-3.38,-0.83,-0.83,107.0,77.0
1,2000,12.78,11.68,12.79,1.09,-0.01,1.18,1.18,47.0
2,2001,4.31,5.13,3.84,-0.82,0.47,1.25,56.0,20.0
3,2002,8.52,9.6,8.03,-1.08,0.49,1.22,37.0,31.0
4,2003,3.95,5.31,4.27,-1.36,-0.31,1.19,30.0,64.0
5,2004,3.39,4.48,4.37,-1.09,-0.98,1.18,1.18,82.0
6,2005,2.69,3.51,3.93,-0.82,-1.23,1.19,31.0,83.0
7,2006,3.78,4.84,4.58,-1.06,-0.8,1.18,30.0,84.0
8,2007,1.66,3.36,0.71,-1.7,0.95,1.21,43.0,41.0
9,2008,-4.1,-2.47,-11.05,-1.62,6.96,1.35,31.0,8.0
10,2009,12.38,12.91,17.38,-0.53,-5.0,1.23,54.0,85.0
11,2010,1.63,2.38,1.77,-0.75,-0.14,1.23,53.0,55.0
12,2011,12.37,10.7,11.74,1.67,0.63,1.2,41.0,21.0
13,2012,11.09,6.78,10.42,4.31,0.67,1.21,42.0,23.0
14,2013,-5.87,-2.55,-3.71,-3.31,-2.16,1.17,51.0,95.0
15,YTD,11.17,8.5,11.21,2.66,-0.05,1.22,33.0,45.0
