,Year,MBLOX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.46,13.49,21.83,12.97,4.63,1.94,27.0,25.0
1,2000,7.83,1.68,0.23,6.15,7.6,1.9,54.0,18.0
2,2001,1.01,-2.46,-3.23,3.47,4.24,1.96,45.0,36.0
3,2002,-8.66,-6.69,-2.16,-1.97,-6.51,1.96,58.0,76.0
4,2003,34.97,22.48,25.32,12.49,9.65,1.96,1.96,14.0
5,2004,13.36,11.48,15.24,1.88,-1.88,1.89,1.89,72.0
6,2005,9.53,7.04,6.56,2.49,2.98,1.86,49.0,15.0
7,2006,14.97,12.95,16.61,2.02,-1.64,1.83,40.0,59.0
8,2007,15.76,8.63,11.39,7.13,4.38,1.84,45.0,20.0
9,2008,-21.2,-22.19,-28.98,1.0,7.79,1.92,34.0,20.0
10,2009,20.71,21.77,24.37,-1.07,-3.66,1.94,33.0,65.0
11,2010,8.92,12.33,10.58,-3.41,-1.66,1.89,29.0,71.0
12,2011,-4.47,0.59,-3.99,-5.06,-0.48,1.87,31.0,55.0
13,2012,9.15,12.04,10.74,-2.89,-1.59,1.86,39.0,74.0
14,2013,13.5,14.31,10.07,-0.8,3.44,1.86,50.0,46.0
15,YTD,2.76,5.81,3.26,-3.05,-0.5,-0.5,-0.5,62.0
