,Year,MDFOX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-70.17,-11.89,-22.3,-58.28,-47.87,1.38,1.38,99.0
1,2002,-39.38,-22.1,-27.64,-17.28,-11.74,1.9,1.9,97.0
2,2003,36.75,28.68,28.66,8.07,8.09,2.1,2.1,11.0
3,2004,5.62,10.88,7.81,-5.26,-2.18,1.95,1.95,70.0
4,2005,7.1,4.91,6.71,2.19,0.39,1.88,143.0,42.0
5,2006,7.73,15.79,7.05,-8.06,0.68,1.8,117.0,44.0
6,2007,29.23,5.49,13.35,23.74,15.88,1.84,145.0,3.0
7,2008,-34.92,-37.0,-40.67,2.08,5.75,2.03,105.0,11.0
8,2009,33.54,26.46,35.68,7.07,-2.15,2.22,185.0,55.0
9,2010,21.92,15.06,15.53,6.85,6.39,1.94,86.0,8.0
10,2011,-8.95,2.11,-2.46,-11.06,-6.49,1.45,97.0,92.0
11,2012,14.46,16.0,15.34,-1.54,-0.88,1.85,78.0,57.0
12,2013,36.0,32.39,33.92,3.61,2.08,1.63,178.0,27.0
13,YTD,9.18,13.98,10.79,-4.8,-1.61,1.49,130.0,73.0
