,Year,MDILX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.84,30.63,40.28,0.21,-9.45,-9.45,-9.45,63.0
1,2000,-16.96,-15.31,-16.34,-1.65,-0.62,-0.62,63.0,52.0
2,2001,-21.73,-19.73,-21.67,-2.0,-0.06,1.66,88.0,49.0
3,2002,-17.43,-14.95,-16.69,-2.48,-0.74,1.61,133.0,57.0
4,2003,28.09,40.83,33.58,-12.74,-5.49,2.02,133.0,89.0
5,2004,16.57,20.91,17.39,-4.34,-0.82,2.0,2.0,59.0
6,2005,12.17,16.62,14.72,-4.45,-2.55,1.97,49.0,80.0
7,2006,17.59,26.65,24.77,-9.06,-7.18,1.98,96.0,98.0
8,2007,11.71,16.65,12.71,-4.95,-1.01,1.91,151.0,55.0
9,2008,-43.54,-45.53,-43.99,1.99,0.45,1.84,153.0,46.0
10,2009,37.52,41.45,31.24,-3.93,6.27,2.4,178.0,20.0
11,2010,16.12,11.15,10.24,4.97,5.89,2.08,154.0,6.0
12,2011,-14.72,-13.71,-13.97,-1.01,-0.75,1.67,1.67,62.0
13,2012,14.35,16.83,18.29,-2.48,-3.94,1.38,117.0,88.0
14,2013,22.22,15.29,19.44,6.93,2.78,1.38,128.0,22.0
15,YTD,-2.37,-0.27,-1.63,-2.1,-0.74,-0.74,-0.74,60.0
