,Year,MDISX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.8,30.63,41.13,-3.83,-14.33,1.03,88.0,66.0
1,2000,12.59,-15.31,-9.14,27.91,21.73,1.02,75.0,2.0
2,2001,1.26,-19.73,-17.51,21.0,18.78,1.02,59.0,2.0
3,2002,-9.06,-14.95,-19.36,5.89,10.3,1.04,41.0,7.0
4,2003,31.55,40.83,34.49,-9.28,-2.94,1.11,1.11,60.0
5,2004,19.39,20.91,15.27,-1.51,4.13,1.07,1.07,14.0
6,2005,15.7,16.62,11.61,-0.92,4.09,1.04,26.0,19.0
7,2006,23.43,26.65,19.72,-3.23,3.71,1.02,22.0,17.0
8,2007,11.32,16.65,11.28,-5.33,0.05,1.0,25.0,44.0
9,2008,-26.55,-45.53,-41.91,18.97,15.35,1.02,25.0,2.0
10,2009,21.31,41.45,35.27,-20.14,-13.96,1.03,37.0,91.0
11,2010,11.37,11.15,13.74,0.22,-2.37,1.04,38.0,61.0
12,2011,-2.68,-13.71,-7.93,11.03,5.25,1.01,34.0,19.0
13,2012,13.65,16.83,15.84,-3.18,-2.2,1.02,25.0,71.0
14,2013,25.64,15.29,25.19,10.35,0.45,0.98,24.0,49.0
15,YTD,6.57,-0.27,4.54,6.84,2.03,2.03,2.03,27.0
