,Year,MDLHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,-10.58,-9.1,-13.05,-1.47,2.47,2.47,2.47,38.0
1,2001,-10.41,-11.89,-22.3,1.48,11.9,11.9,230.0,9.0
2,2002,-25.18,-22.1,-27.64,-3.08,2.46,1.54,1.54,33.0
3,2003,32.84,28.68,28.66,4.16,4.18,1.46,1.46,19.0
4,2004,10.21,10.88,7.81,-0.67,2.4,1.38,1.38,27.0
5,2005,11.61,4.91,6.71,6.7,4.89,1.33,132.0,16.0
6,2006,6.48,15.79,7.05,-9.31,-0.57,1.29,1.29,58.0
7,2007,8.05,5.49,13.35,2.56,-5.3,1.27,87.0,76.0
8,2008,-36.94,-37.0,-40.67,0.06,3.73,1.31,144.0,20.0
9,2009,30.95,26.46,35.68,4.48,-4.73,1.39,242.0,69.0
10,2010,11.97,15.06,15.53,-3.09,-3.56,1.31,232.0,79.0
11,2011,0.17,2.11,-2.46,-1.94,2.63,1.27,169.0,28.0
12,2012,14.47,16.0,15.34,-1.54,-0.87,1.26,132.0,57.0
13,2013,33.01,32.39,33.92,0.62,-0.91,1.25,54.0,57.0
14,YTD,13.97,13.98,10.79,-0.01,3.18,1.23,49.0,16.0
