,Year,MDLTX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,70.82,30.63,59.58,40.19,11.24,2.04,30.0,12.0
1,2000,-11.48,-15.31,-15.05,3.83,3.58,1.73,42.0,34.0
2,2001,-6.08,-19.73,-5.85,13.65,-0.23,1.98,44.0,56.0
3,2002,-19.03,-14.95,-20.3,-4.08,1.27,2.1,46.0,24.0
4,2003,68.14,40.83,61.76,27.31,6.38,2.07,2.07,6.0
5,2004,43.26,20.91,38.58,22.36,4.68,1.85,1.85,8.0
6,2005,54.98,16.62,53.89,38.36,1.08,1.68,47.0,22.0
7,2006,46.84,26.65,44.35,20.19,2.49,1.57,48.0,15.0
8,2007,45.09,16.65,45.77,28.44,-0.68,1.51,72.0,20.0
9,2008,-54.66,-45.53,-59.15,-9.14,4.49,1.55,61.0,24.0
10,2009,120.24,41.45,115.54,78.8,4.71,1.63,50.0,16.0
11,2010,18.67,11.15,15.45,7.52,3.22,1.53,64.0,28.0
12,2011,-23.96,-13.71,-22.64,-10.25,-1.32,1.55,33.0,70.0
13,2012,8.47,16.83,9.78,-8.36,-1.3,1.53,50.0,47.0
14,2013,-13.72,15.29,-11.96,-29.0,-1.76,1.53,66.0,58.0
15,YTD,-0.27,-0.27,-4.65,0.0,4.38,4.38,4.38,12.0
