,Year,MDLVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,11.61,-9.1,7.87,20.72,3.74,3.74,3.74,31.0
1,2001,-0.43,-11.89,-4.99,11.45,4.55,4.55,169.0,23.0
2,2002,-12.1,-22.1,-18.69,10.0,6.6,1.28,137.0,6.0
3,2003,32.87,28.68,28.44,4.19,4.44,1.28,157.0,15.0
4,2004,19.78,10.88,12.97,8.9,6.81,1.26,128.0,3.0
5,2005,14.87,4.91,5.95,9.96,8.92,1.23,95.0,1.0
6,2006,15.79,15.79,18.15,-0.01,-2.36,1.19,71.0,80.0
7,2007,4.78,5.49,1.42,-0.71,3.36,1.17,72.0,26.0
8,2008,-35.7,-37.0,-37.09,1.3,1.39,1.22,108.0,39.0
9,2009,14.14,26.46,24.13,-12.33,-9.99,1.4,151.0,93.0
10,2010,10.39,15.06,13.66,-4.67,-3.27,1.23,183.0,90.0
11,2011,-2.97,2.11,-0.75,-5.09,-2.23,1.24,156.0,67.0
12,2012,12.47,16.0,14.57,-3.53,-2.1,1.26,147.0,76.0
13,2013,32.73,32.39,31.21,0.34,1.52,1.21,40.0,36.0
14,YTD,10.34,13.98,10.25,-3.64,0.09,1.17,32.0,54.0
