,Year,MDRFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.66,21.04,8.5,-13.38,-0.84,-0.84,40.0,43.0
1,2000,15.24,-9.1,18.45,24.34,-3.21,1.78,53.0,18.0
2,2001,25.48,-11.89,6.67,37.37,18.81,1.78,153.0,4.0
3,2002,-24.93,-22.1,-13.25,-2.83,-11.68,1.36,99.0,86.0
4,2003,34.02,28.68,33.85,5.33,0.17,1.37,74.0,56.0
5,2004,17.82,10.88,17.85,6.94,-0.03,1.34,1.34,31.0
6,2005,12.6,4.91,8.82,7.69,3.79,1.26,82.0,17.0
7,2006,13.12,15.79,15.87,-2.68,-2.76,1.26,110.0,51.0
8,2007,3.89,5.49,0.83,-1.6,3.06,1.26,99.0,59.0
9,2008,-35.95,-37.0,-36.77,1.04,0.81,1.24,148.0,28.0
10,2009,35.28,26.46,35.41,8.81,-0.14,1.36,154.0,45.0
11,2010,25.68,15.06,21.92,10.62,3.76,1.42,106.0,15.0
12,2011,-0.59,2.11,-3.96,-2.7,3.36,1.28,54.0,24.0
13,2012,13.2,16.0,16.6,-2.8,-3.4,1.21,68.0,78.0
14,2013,33.29,32.39,35.14,0.9,-1.85,1.25,55.0,65.0
15,YTD,5.98,13.98,8.68,-7.99,-2.7,1.16,57.0,79.0
