,Year,MDXBX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.15,-2.06,-4.34,-1.09,1.19,1.19,15.0,21.0
1,2000,11.41,11.68,11.02,-0.28,0.38,0.51,29.0,31.0
2,2001,4.99,5.13,4.32,-0.13,0.68,0.49,19.0,19.0
3,2002,9.48,9.6,8.53,-0.13,0.94,0.49,18.0,15.0
4,2003,4.86,5.31,4.79,-0.45,0.07,0.49,19.0,43.0
5,2004,3.51,4.48,3.84,-0.97,-0.33,0.48,0.48,59.0
6,2005,3.31,3.51,2.96,-0.21,0.35,0.48,21.0,29.0
7,2006,4.55,4.84,4.41,-0.29,0.14,0.48,18.0,31.0
8,2007,1.89,3.36,1.65,-1.47,0.25,0.47,20.0,49.0
9,2008,-6.67,-2.47,-10.07,-4.19,3.41,0.47,23.0,45.0
10,2009,17.99,12.91,19.1,5.08,-1.11,0.47,22.0,37.0
11,2010,1.98,2.38,1.18,-0.4,0.8,0.47,8.0,29.0
12,2011,10.08,10.7,10.2,-0.62,-0.12,0.46,15.0,54.0
13,2012,7.56,6.78,7.57,0.78,-0.01,0.46,12.0,40.0
14,2013,-2.75,-2.55,-5.66,-0.2,2.91,0.46,12.0,7.0
15,YTD,8.72,8.5,9.57,0.21,-0.85,0.46,12.0,64.0
