,Year,MEURX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,46.81,30.63,30.54,16.18,16.27,1.04,127.0,9.0
1,2000,14.46,-15.31,-9.12,29.78,23.58,1.03,112.0,1.0
2,2001,-4.74,-19.73,-19.15,15.0,14.41,1.05,52.0,4.0
3,2002,-7.71,-14.95,-13.89,7.24,6.18,1.05,30.0,20.0
4,2003,32.84,40.83,39.0,-7.99,-6.16,1.08,1.08,69.0
5,2004,21.58,20.91,21.4,0.67,0.18,1.07,1.07,28.0
6,2005,18.03,16.62,15.27,1.41,2.76,1.04,30.0,21.0
7,2006,27.3,26.65,33.56,0.65,-6.25,1.04,38.0,87.0
8,2007,17.15,16.65,12.52,0.49,4.63,1.04,40.0,11.0
9,2008,-32.47,-45.53,-49.79,13.06,17.32,1.09,42.0,1.0
10,2009,23.01,41.45,47.32,-18.44,-24.32,1.12,59.0,96.0
11,2010,8.61,11.15,10.51,-2.55,-1.91,1.1,35.0,53.0
12,2011,-8.01,-13.71,-15.15,5.69,7.13,1.11,33.0,11.0
13,2012,17.73,16.83,20.94,0.9,-3.21,1.13,42.0,80.0
14,2013,26.68,15.29,26.52,11.39,0.16,1.07,39.0,45.0
15,YTD,-2.17,-0.27,-4.09,-1.9,1.92,1.92,1.92,12.0
