,Year,MGCSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,,10.0,10.0
1,2006,18.98,26.65,19.72,-7.67,-0.74,-0.74,63.0,58.0
2,2007,16.86,16.65,11.28,0.21,5.58,5.58,5.58,18.0
3,2008,-36.02,-45.53,-41.91,9.5,5.89,5.89,110.0,17.0
4,2009,36.95,41.45,35.27,-4.49,1.68,1.68,120.0,35.0
5,2010,20.48,11.15,13.74,9.33,6.74,6.74,81.0,14.0
6,2011,-9.35,-13.71,-7.93,4.36,-1.42,-1.42,81.0,60.0
7,2012,18.11,16.83,15.84,1.28,2.27,2.27,79.0,32.0
8,2013,37.17,15.29,25.19,21.89,11.98,11.98,70.0,7.0
9,YTD,1.42,-0.27,4.54,1.69,-3.12,-3.12,81.0,81.0
