,Year,MQIFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.64,30.63,41.13,-16.99,-27.49,0.77,60.0,29.0
1,2000,14.25,-15.31,-9.14,29.56,23.39,0.78,55.0,61.0
2,2001,8.21,-19.73,-17.51,27.94,25.72,0.79,53.0,38.0
3,2002,-12.7,-14.95,-19.36,2.25,6.66,0.8,51.0,50.0
4,2003,30.5,40.83,34.49,-10.33,-3.99,0.85,0.85,61.0
5,2004,16.64,20.91,15.27,-4.27,1.37,0.82,0.82,52.0
6,2005,11.26,16.62,11.61,-5.36,-0.35,0.81,21.0,29.0
7,2006,19.29,26.65,19.72,-7.36,-0.42,0.81,24.0,36.0
8,2007,9.12,16.65,11.28,-7.53,-2.16,0.79,26.0,55.0
9,2008,-25.34,-45.53,-41.91,20.18,16.57,0.81,26.0,1.0
10,2009,20.61,41.45,35.27,-20.84,-14.67,0.81,37.0,93.0
11,2010,10.16,11.15,13.74,-0.99,-3.58,0.83,49.0,73.0
12,2011,-1.83,-13.71,-7.93,11.88,6.1,0.8,107.0,15.0
13,2012,12.57,16.83,15.84,-4.26,-3.27,0.79,65.0,79.0
14,2013,25.96,15.29,25.19,10.67,0.77,0.77,63.0,47.0
15,YTD,4.29,-0.27,4.54,4.56,-0.25,-0.25,-0.25,56.0
