,Year,MUTHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.0,21.04,6.72,-6.04,8.28,0.75,66.0,22.0
1,2000,13.83,-9.1,7.87,22.94,5.96,0.76,63.0,63.0
2,2001,6.32,-11.89,-4.99,18.21,11.31,0.77,53.0,43.0
3,2002,-10.89,-22.1,-18.69,11.21,7.81,0.79,51.0,38.0
4,2003,26.62,28.68,28.44,-2.06,-1.81,0.84,0.84,84.0
5,2004,13.89,10.88,12.97,3.01,0.92,0.81,0.81,36.0
6,2005,10.39,4.91,5.95,5.47,4.43,0.76,22.0,11.0
7,2006,18.37,15.79,18.15,2.57,0.22,0.76,33.0,49.0
8,2007,3.3,5.49,1.42,-2.19,1.88,0.74,41.0,36.0
9,2008,-37.92,-37.0,-37.09,-0.92,-0.83,0.78,38.0,63.0
10,2009,28.2,26.46,24.13,1.73,4.07,0.83,48.0,22.0
11,2010,11.75,15.06,13.66,-3.31,-1.91,0.85,28.0,74.0
12,2011,-1.5,2.11,-0.75,-3.61,-0.75,0.86,29.0,54.0
13,2012,15.14,16.0,14.57,-0.86,0.57,0.82,22.0,46.0
14,2013,28.1,32.39,31.21,-4.29,-3.12,0.79,24.0,80.0
15,YTD,8.49,13.98,10.25,-5.48,-1.76,-1.76,-1.76,79.0
