,Year,NCMAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,3.52,5.31,3.27,-1.8,0.25,0.5,19.0,41.0
1,2004,2.48,4.48,2.57,-2.0,-0.09,0.5,0.5,54.0
2,2005,1.83,3.51,1.89,-1.68,-0.06,0.5,26.0,37.0
3,2006,4.36,4.84,3.71,-0.48,0.65,0.5,35.0,18.0
4,2007,3.1,3.36,2.5,-0.26,0.6,0.5,13.0,44.0
5,2008,-0.77,-2.47,-3.59,1.7,2.81,0.5,5.0,43.0
6,2009,9.5,12.91,10.27,-3.41,-0.77,0.5,19.0,41.0
7,2010,3.24,2.38,2.34,0.86,0.91,0.54,25.0,24.0
8,2011,10.49,10.7,8.67,-0.21,1.82,0.55,26.0,2.0
9,2012,6.27,6.78,5.51,-0.51,0.76,0.48,9.0,19.0
10,2013,-1.33,-2.55,-1.44,1.22,0.11,0.48,8.0,48.0
11,YTD,7.23,8.5,6.11,-1.27,1.12,0.49,12.0,28.0
